DATE,beef,pork
2014-03-01,91.8998,83.176
2014-04-01,96.3013,87.5868
2014-05-01,93.3419,87.1949
2014-06-01,92.8408,85.4447
2014-07-01,91.3507,86.9463
2014-08-01,91.7788,83.966
2014-09-01,92.7049,85.4888
2014-10-01,91.3933,87.3418
2014-11-01,89.9002,87.0514
2014-12-01,90.9265,89.5294
2015-01-01,90.2374,92.041
2015-02-01,91.9398,95.0496
2015-03-01,91.5727,94.564
2015-04-01,92.8167,96.4599
2015-05-01,92.708,93.1545
2015-06-01,88.754,96.6643
2015-07-01,92.5879,98.0256
2015-08-01,90.3842,96.1072
2015-09-01,96.0534,96.0869
2015-10-01,93.976,94.2616
2015-11-01,94.0324,97.3613
2015-12-01,95.2333,96.9484
2016-01-01,96.0953,98.4912
2016-02-01,95.9941,96.2857
2016-03-01,99.1259,97.255
2016-04-01,96.078,95.4585
2016-05-01,97.2403,97.8513
2016-06-01,98.7223,98.9874
2016-07-01,98.636,97.5199
2016-08-01,99.9954,99.7568
2016-09-01,100.6632,99.7907
2016-10-01,101.9833,98.4985
2016-11-01,103.272,98.5928
2016-12-01,102.1803,96.4239
2017-01-01,100.9209,96.5491
2017-02-01,101.429,96.0599
2017-03-01,102.2758,96.4915
2017-04-01,99.7323,97.1318
2017-05-01,96.9659,97.3539
2017-06-01,99.7304,97.4564
2017-07-01,99.2119,97.4891
2017-08-01,101.5445,101.2964
2017-09-01,100.3315,104.2396
2017-10-01,99.0681,103.8466
2017-11-01,99.4607,102.9473
2017-12-01,99.3793,108.3497
2018-01-01,97.8433,106.7207
2018-02-01,97.5456,109.1376
2018-03-01,95.6506,110.9629
2018-04-01,98.2086,114.9648
2018-05-01,96.8873,114.6201
2018-06-01,96.5678,110.2088
2018-07-01,96.7082,114.679
2018-08-01,97.0353,118.2728
2018-09-01,96.9698,111.3311
2018-10-01,96.4996,113.5453
2018-11-01,97.0281,113.6141
2018-12-01,95.5073,111.5668
2019-01-01,97.4475,111.3151
2019-02-01,96.8966,112.737
2019-03-01,95.8926,111.0282
2019-04-01,100.9057,109.5128
2019-05-01,99.0543,108.1466
2019-06-01,99.4268,111.1315
2019-07-01,100.1666,110.6993
2019-08-01,98.8554,106.1207
2019-09-01,98.5907,109.5819
2019-10-01,99.1083,109.5964
2019-11-01,100.3381,110.1623
2019-12-01,102.0786,111.3842
2020-01-01,102.2208,113.0221
2020-02-01,102.7443,112.0061
2020-03-01,107.915,117.8607
2020-04-01,81.2165,96.3887
2020-05-01,84.4786,97.3665
2020-06-01,99.2512,118.6099
2020-07-01,102.2445,120.6493
2020-08-01,100.849,117.5371
2020-09-01,101.129,112.8056
2020-10-01,101.9389,114.5583
2020-11-01,100.5808,114.4857
2020-12-01,100.1744,112.6544
2021-01-01,104.5803,119.1537
2021-02-01,103.3803,114.2512
2021-03-01,106.3564,113.6197
2021-04-01,104.5714,111.7883
2021-05-01,100.062,107.3413
2021-06-01,100.3278,111.0488
2021-07-01,99.9249,105.6768
2021-08-01,99.9953,107.9753
